N bins
9.999999999999999547e-07 -7.587166223125696440e-01
1.318233585528709104e-03 1.012037108873227398e+00
2.372820453951676040e-03 2.782790840059024440e+00
3.954700756586128178e-03 4.553544571244821704e+00
6.459344569090673567e-03 6.324298302430618079e+00
7.645754796066511587e-03 8.095052033616415343e+00
8.173048230277995055e-03 9.865805764802212607e+00
9.095811740148092642e-03 1.163655949598800987e+01
9.623105174359575242e-03 1.340731322717380714e+01
1.225957234541700559e-02 1.517806695835960440e+01
1.463239279936868337e-02 1.694882068954539989e+01
1.265504242107559282e-02 1.871957442073119537e+01
1.542333295068590814e-02 2.049032815191699441e+01
1.581880302634449190e-02 2.226108188310278990e+01
1.581880302634452312e-02 2.403183561428858894e+01
1.700521325332032818e-02 2.580258934547438443e+01
1.700521325332036288e-02 2.757334307666018347e+01
1.885074027306055805e-02 2.934409680784597896e+01
1.845527019740186847e-02 3.111485053903177445e+01
1.977350378293061400e-02 3.288560427021757704e+01
1.977350378293069380e-02 3.465635800140337608e+01
1.911438699016626205e-02 3.642711173258916801e+01
1.898256363161339097e-02 3.819786546377496705e+01
1.568697966779162081e-02 3.996861919496076609e+01
1.660974317766178432e-02 4.173937292614656513e+01
1.634609646055597276e-02 4.351012665733235707e+01
1.660974317766171493e-02 4.528088038851815611e+01
1.542333295068594110e-02 4.705163411970395515e+01
1.423692272371004236e-02 4.882238785088974709e+01
1.542333295068587865e-02 5.059314158207554613e+01
1.515968623358013821e-02 5.236389531326134517e+01
1.529150959213307001e-02 5.413464904444714421e+01
1.278686577962846391e-02 5.590540277563293614e+01
1.186410226975836806e-02 5.767615650681873518e+01
1.107316211844118839e-02 5.944691023800453422e+01
1.041404532567678960e-02 6.121766396919032616e+01
1.080951540133540112e-02 6.298841770037612520e+01
1.094133875988831731e-02 6.475917143156192424e+01
1.094133875988822883e-02 6.652992516274771617e+01
1.186410226975841489e-02 6.830067889393352232e+01
8.304871588830892160e-03 7.007143262511931425e+01
6.854814644749252124e-03 7.184218635630510619e+01
7.513931437513663054e-03 7.361294008749091233e+01
6.327521210537822433e-03 7.538369381867670427e+01
5.404757700667678876e-03 7.715444754986249620e+01
5.141110983561980076e-03 7.892520128104830235e+01
3.295583963821755846e-03 8.069595501223409428e+01
2.636467171057425580e-03 8.246670874341990043e+01
1.186410226975841706e-03 8.423746247460569236e+01
7.909401513172212989e-04 8.600821620579148430e+01
1.581880302634455608e-03 8.777896993697729044e+01
9.999999999999999547e-07 8.954972366816308238e+01
