dE N yerr
1.182353816683139072e+18 5.409520272170971148e+05 1.360051998871804062e+04
1.613194732021156352e+18 5.692308377713407390e+05 1.631710584116965583e+04
2.201030864619971584e+18 5.483069302991147852e+05 1.843113583454518812e+04
3.003070101115494400e+18 4.864522127535201726e+05 2.011232369973868117e+04
4.097366455499886592e+18 7.816466732909015846e+05 3.495630191730050137e+04
5.590416242504511488e+18 1.223015350267510395e+06 5.810721286842328118e+04
7.627522239927517184e+18 1.435810578403780703e+06 6.776009062925666512e+04
1.040693447443988480e+19 3.284421823505029082e+06 1.531369571353929350e+05
1.419914380430755021e+19 4.496972850008876063e+06 2.229066684392492170e+05
1.937320593980745728e+19 8.342605369264542125e+06 3.889759810045321938e+05
2.643265774041475482e+19 1.439471588432318531e+07 6.870223051794545026e+05
3.606452114289808998e+19 2.859408263676012680e+07 1.317545780184864998e+06
4.920616375544748442e+19 5.932959257337070256e+07 2.722228404092254117e+06
6.713652295379830374e+19 9.730691044038128853e+07 4.488433081906173378e+06
9.160057135782900531e+19 1.926364534605412185e+08 9.152434108861684799e+06
1.249791365998345257e+20 2.816196665739110708e+08 1.314488034580187500e+07
1.705206021502082089e+20 6.053825337544617653e+08 2.834963458469024301e+07
2.326570381964711690e+20 9.021684828236453533e+08 4.381317464154545963e+07
3.174355282575919022e+20 1.839635597481748581e+09 8.740372493265894055e+07
4.331066680006626509e+20 3.963044581241153240e+09 1.818369561934384406e+08
