N bins
9.999999999999999547e-07 -3.438833082075410275e+00
3.331734484108078644e-04 1.468344874082621598e-01
8.548529268435201391e-04 3.732502056891934927e+00
1.573806157624737341e-03 7.318169626375607528e+00
2.152475831180351590e-03 1.090383719585928013e+01
2.608397392163560886e-03 1.448950476534295184e+01
3.121309148269671343e-03 1.807517233482662533e+01
3.774504461601390064e-03 2.166083990431030060e+01
4.221658300258000415e-03 2.524650747379397231e+01
4.800327973813609678e-03 2.883217504327764402e+01
5.142269144551027925e-03 3.241784261276131929e+01
5.808616041372632703e-03 3.600351018224498745e+01
6.133021767456840918e-03 3.958917775172866271e+01
6.457427493541061277e-03 4.317484532121233798e+01
6.834439553584856220e-03 4.676051289069600614e+01
6.970339249647173469e-03 5.034618046017968140e+01
7.329815865037767920e-03 5.393184802966334956e+01
7.597231395999074106e-03 5.751751559914702483e+01
7.733131092061392223e-03 6.110318316863070010e+01
8.118910874431818636e-03 6.468885073811436826e+01
8.333720071433490389e-03 6.827451830759802931e+01
8.403861850046292353e-03 7.186018587708170458e+01
8.772106187763500929e-03 7.544585344656537984e+01
8.596751741231496019e-03 7.903152101604905511e+01
9.153502108970609438e-03 8.261718858553273037e+01
8.859783411029538078e-03 8.620285615501640564e+01
8.671277381007598539e-03 8.978852372450006669e+01
8.517842240292094677e-03 9.337419129398374196e+01
8.557296990761796215e-03 9.695985886346741722e+01
8.118910874431785676e-03 1.005455264329510925e+02
8.048769095819014938e-03 1.041311940024347678e+02
8.259194431657387869e-03 1.077168615719184288e+02
7.947940289063081323e-03 1.113025291414021041e+02
7.566544367855972814e-03 1.148881967108857793e+02
7.014177861280160818e-03 1.184738642803694546e+02
6.878278165217884335e-03 1.220595318498531299e+02
6.558256300296923767e-03 1.256451994193367909e+02
6.431124326561272683e-03 1.292308669888204804e+02
6.242618296539367839e-03 1.328165345583041415e+02
5.343926758062801478e-03 1.364022021277878025e+02
5.151036866877638579e-03 1.399878696972714920e+02
4.927459947549293721e-03 1.435735372667551530e+02
4.195355133278212689e-03 1.471592048362388425e+02
3.735049711131700236e-03 1.507448724057225036e+02
3.309815178291562743e-03 1.543305399752061646e+02
2.945954701737679010e-03 1.579162075446898541e+02
2.345365722365544414e-03 1.615018751141735152e+02
1.871908716729150240e-03 1.650875426836572046e+02
1.385300127602826208e-03 1.686732102531408657e+02
8.022465928839215936e-04 1.722588778226245552e+02
3.770120600438101217e-04 1.758445453921082162e+02
9.999999999999999547e-07 1.794302129615918773e+02
