dE N yerr
4.761258775128613535e-02 1.796244933876520872e-02 1.381726872212708313e-03
6.608676288043840996e-02 4.976739229993284996e-02 2.315388636389697705e-03
9.172910850444830622e-02 5.044469287593069534e-02 2.281187865208426230e-03
1.273209487086474911e-01 9.466280207849013528e-02 3.110812693282977593e-03
1.767227900103697791e-01 9.612888041788433813e-02 3.153886260988291584e-03
2.452930552733785796e-01 7.214476445928122428e-02 2.715204028478880420e-03
3.404692906999609581e-01 1.576761276237578224e-01 4.060366862730826164e-03
4.725748871305903154e-01 2.189411019125562796e-01 4.708683011365187403e-03
6.559388175284726064e-01 3.426000409056429441e-01 6.018869198492708857e-03
9.104498441571965417e-01 4.653850020251830699e-01 7.005601334568805141e-03
1.263713774173583548e+00 6.264135119587174172e-01 8.127704294472884797e-03
1.754047752640741420e+00 8.372625415644291413e-01 9.378480958152286481e-03
2.434636372113660130e+00 7.455650473351429497e-01 8.840139847096160908e-03
3.379300395610612018e+00 7.950275621833431394e-01 9.189995436263549006e-03
4.690503803596716814e+00 6.864215309423505884e-01 8.554245007441790491e-03
6.510467657782732509e+00 5.287481151333259799e-01 7.506205537778851133e-03
9.036596258707414009e+00 2.998682619709173158e-01 5.655878608840834119e-03
1.254288881156899294e+01 1.963803017688049435e-01 4.559591822347567637e-03
1.740965903924162461e+01 1.225095074725791461e-01 3.611038610238634372e-03
2.416478631167370139e+01 7.688481677093339517e-02 2.855430410191829235e-03
