N bins
1.000000000000000048e-04 1.641282113421554723e+00
2.776839191873306856e+00 1.681281950574864181e+00
2.329616870611432855e-01 1.721281787728173640e+00
1.373191595750317129e-01 1.761281624881483099e+00
9.029936952599362798e-02 1.801281462034792558e+00
6.785810609349816891e-02 1.841281299188102016e+00
6.037768494933300895e-02 1.881281136341411475e+00
5.236294800915607117e-02 1.921280973494720934e+00
5.556884278522652987e-02 1.961280810648030393e+00
6.358357972540414071e-02 2.001280647801340073e+00
5.076000062112039080e-02 2.041280484954649310e+00
6.411789552141594628e-02 2.081280322107958991e+00
6.572084290945061358e-02 2.121280159261268228e+00
7.694147462569914109e-02 2.161279996414577909e+00
7.694147462569828066e-02 2.201279833567887145e+00
8.175031678980441974e-02 2.241279670721196826e+00
1.052602118143245169e-01 2.281279507874506507e+00
9.991705385420651675e-02 2.321279345027815744e+00
1.079317907943823096e-01 2.361279182181124980e+00
1.287701068388422687e-01 2.401279019334434661e+00
1.148778961425369061e-01 2.441278856487744342e+00
1.410593701471135053e-01 2.481278693641053579e+00
1.415936859431268791e-01 2.521278530794363260e+00
1.576231598234791031e-01 2.561278367947672496e+00
1.715153705197876577e-01 2.601278205100982177e+00
1.816673706440098401e-01 2.641278042254291414e+00
2.089174762406112995e-01 2.681277879407601095e+00
2.612804242497699936e-01 2.721277716560910775e+00
2.650206348218525632e-01 2.761277553714220012e+00
3.056286353187459559e-01 2.801277390867529249e+00
3.237953723831469288e-01 2.841277228020838930e+00
3.879132679045664833e-01 2.881277065174148611e+00
3.831044257404603304e-01 2.921276902327457847e+00
4.669920057143076564e-01 2.961276739480767084e+00
4.680606373063311842e-01 3.001276576634076765e+00
5.316442170317405846e-01 3.041276413787386446e+00
6.267524287218408929e-01 3.081276250940695682e+00
6.700320081987891641e-01 3.121276088094004919e+00
7.309440089441336941e-01 3.161275925247314600e+00
8.180374836940650374e-01 3.201275762400624281e+00
8.805524318274455808e-01 3.241275599553933517e+00
8.917730635436735831e-01 3.281275436707242754e+00
9.879499068258174033e-01 3.321275273860552879e+00
1.014131380830395557e+00 3.361275111013862116e+00
1.058479591899363248e+00 3.401274948167171353e+00
1.206485067394630128e+00 3.441274785320481033e+00
1.281289278836295287e+00 3.481274622473790714e+00
1.428226122739540083e+00 3.521274459627099951e+00
1.460819386296243749e+00 3.561274296780409188e+00
1.551653071618248614e+00 3.601274133933718868e+00
1.487000860300838223e+00 3.641273971087028549e+00
1.000000000000000048e-04 3.681273808240337786e+00
