dE N yerr
1.398230220183881472e+18 2.951697596281054325e-01 9.324767258760587041e-03
4.863677608023767040e+18 2.898106441643045206e-01 9.220104851497098325e-03
1.691807224112268698e+19 3.058599792231367909e-01 9.662484136649109392e-03
5.884871313913932186e+19 3.040459529723407162e-01 9.524718192295691249e-03
2.047024618865733468e+20 2.876195541523992594e-01 9.225401500782657790e-03
7.120478200321926758e+20 3.068135741308951614e-01 9.578574677722157329e-03
2.476824623113399435e+21 3.082502758670012666e-01 9.419085486527051937e-03
8.615517162012356379e+21 2.835185145452204791e-01 8.916734735770672632e-03
2.996866846213158207e+22 2.744910643072378531e-01 8.804304992662813703e-03
1.042445940857928627e+23 2.766639878873803915e-01 9.038218520084996543e-03
