dE N yerr
1.397568900399886336e+18 2.977223290457606808e-01 9.254250111855889457e-03
4.860668924671702016e+18 2.910294402477455744e-01 9.059350767489196196e-03
1.690514320153305293e+19 2.742738814342933207e-01 8.838352305823844388e-03
5.879517224754029363e+19 2.854968788300630833e-01 9.014692107904006407e-03
2.044864239484491530e+20 2.913298392758474353e-01 9.144331214047748610e-03
7.111927047883465687e+20 2.931118788031376043e-01 9.119756831279555304e-03
2.473489699598222492e+21 2.746487564575307849e-01 8.832108588180434885e-03
8.602663178103443948e+21 2.670245493402472192e-01 8.700129946949221316e-03
2.991959649879191244e+22 2.831795341882296646e-01 8.977394759416269104e-03
1.040587357795256663e+23 2.889909143433120331e-01 9.070916474517251929e-03
