dE N yerr
1.390415113427893504e+18 2.902299859783055158e-01 9.191675879696782278e-03
4.801874853375789056e+18 2.946458405959614946e-01 9.171924393175547377e-03
1.658353817129918874e+19 2.885150272983136865e-01 7.519942732971101294e-03
5.727215862062677197e+19 3.669645088115359721e-01 2.444149915726201959e-03
1.977925409634862367e+20 5.451117066471953265e-01 2.496889814431508745e-03
6.830873884104400568e+20 5.438829853579983942e-01 2.611474135191932649e-03
2.359079760705103856e+21 4.507074594775036247e-01 2.669620075569081961e-03
8.147211340439069131e+21 6.134457073471649008e-02 1.542802012896417893e-03
2.813684120876844948e+22 4.656840170764967035e-02 2.343110578656115890e-03
9.717212431668496826e+22 6.564866580182332489e-02 3.669871984126066994e-03
