dE N yerr
1.398738339255626240e+18 2.922344123821265516e-01 9.325574835283852171e-03
4.864966672220796928e+18 2.953880293047240757e-01 9.064224073631169803e-03
1.692089224809163776e+19 3.159434957258984711e-01 8.354902772845826386e-03
5.885273502620475392e+19 3.210903500359610918e-01 8.403318526084377349e-03
2.046963227045726126e+20 3.249125871375466157e-01 9.466597038588547494e-03
7.119564538524489482e+20 3.058566182671865197e-01 9.443438107824914107e-03
2.476263303047755071e+21 3.141126771251686045e-01 9.726202559721491142e-03
8.612717691989333639e+21 2.993182708575929940e-01 9.537073121511401713e-03
2.995598487067493296e+22 2.844063246189185157e-01 9.251738431420892736e-03
1.041902291081406867e+23 3.045128257146872408e-01 9.639185069410596829e-03
