dE N yerr
1.397310220919199232e+18 2.928446288862064373e-01 9.288467605057424206e-03
4.841518091019817984e+18 3.054802622595290118e-01 9.495393779317429575e-03
1.677529948235284275e+19 2.874510549755764921e-01 9.154306505294222338e-03
5.812446993528659968e+19 2.820919967586041910e-01 9.052762984140252586e-03
2.013945568490193879e+20 3.086365701750625190e-01 8.935670835776860638e-03
6.978088156945004626e+20 3.376767353111803649e-01 2.653776255676931501e-03
2.417826732159429247e+21 3.491990248340292591e-01 2.754984380346647225e-03
8.377489615012345414e+21 2.906891477609430119e-01 8.882476828495602245e-03
2.902703130714328741e+22 3.463599189017823599e-01 8.772120153983663932e-03
1.005753018178627971e+23 1.046374478988174178e-01 5.130272968159791877e-03
