dE N yerr
1.397429484834220032e+18 2.942955865932502246e-01 9.325112502323455385e-03
4.859684944091526144e+18 2.962784952816778783e-01 9.383234091314808858e-03
1.689998530310925517e+19 2.947029764416799202e-01 9.342712438157122976e-03
5.877119741940409958e+19 2.905427528182618624e-01 9.164884922192337996e-03
2.043820502894222705e+20 2.987199601759835121e-01 8.827983227603470109e-03
7.107567025121782661e+20 3.006751918671525248e-01 8.858727795992909007e-03
2.471719456041341551e+21 3.006740045135730122e-01 9.256986959787506450e-03
8.595623576646652527e+21 2.875661432610154833e-01 9.209487123447121157e-03
2.989204316485665476e+22 3.012268004096788077e-01 9.501902678542336472e-03
1.039522306441251610e+23 2.924860712363157034e-01 9.244600544535555922e-03
