dE N yerr
1.397659805784448512e+18 3.002149632823304382e-01 9.278098816519640343e-03
4.862769368783634432e+18 2.781312894480219011e-01 8.884578141077813240e-03
1.691865633977259008e+19 2.875444342288132615e-01 8.998955302081581425e-03
5.886376890107933491e+19 2.902016990884623837e-01 9.108920877931924592e-03
2.048001460431725855e+20 2.862607328286483344e-01 9.047836416280910857e-03
7.125452651492681974e+20 2.938755782893575086e-01 9.147947174882578927e-03
2.479103480617692037e+21 2.793339391751244460e-01 8.973498970414210685e-03
8.625352476832846316e+21 2.787139281974865268e-01 8.930570306955085136e-03
3.000951994592410573e+22 2.779737749634391686e-01 8.839051802762318971e-03
1.044097954029929360e+23 2.736886037830518204e-01 8.778566059348767020e-03
