dE N yerr
1.398593391848749056e+18 2.922222745321570447e-01 9.402097566327228054e-03
4.864627008616637440e+18 3.031760662696407205e-01 9.572920387452308472e-03
1.692028295778024653e+19 2.930844017648605582e-01 9.347940653627940730e-03
5.885260573199897395e+19 3.095909531049580998e-01 9.684179112986473700e-03
2.047027942788321116e+20 3.120588630093463212e-01 9.690521369832299017e-03
7.120030364735154422e+20 2.986817225414322707e-01 9.347506509412205344e-03
2.476509056622723072e+21 2.955481972082490971e-01 9.431321958396871735e-03
8.613863696299703927e+21 2.956796947361065575e-01 9.354891548014455591e-03
2.996098382116017301e+22 2.992428253046964248e-01 9.500969204398065915e-03
1.042111395281809147e+23 2.933227622791357847e-01 9.298956707626612403e-03
