dE N yerr
1.325274212476873984e+18 2.881168765242976826e-01 9.246110576959197525e-03
4.291855642773812736e+18 2.947553660919894347e-01 9.334996105886356893e-03
1.389902911034786611e+19 2.634600298561789455e-01 8.782000995205964389e-03
4.501153493723844608e+19 2.809012690779638111e-01 9.108847744010509229e-03
1.457683311057925243e+20 2.897638094418339416e-01 8.697264002958416187e-03
4.720658023103531581e+20 3.085251077984521029e-01 4.958826655941939165e-03
1.528769109314870444e+21 3.675869460049430854e-02 1.352190439028372326e-03
4.950866972691369296e+21 8.789633148410193678e-03 5.626986020385992427e-04
1.603321497794458629e+22 8.146128439609648039e-03 6.696076329655982441e-04
5.192302357282749311e+22 7.421688153102892413e-03 8.934662596478385897e-04
