dE N yerr
1.406875925031904512e+18 3.008576777733393826e-01 9.227721245973100755e-03
4.889598198463320064e+18 2.940175761416928824e-01 9.086569488113085610e-03
1.699380173974728294e+19 2.629793942583548705e-01 8.651386909588896015e-03
5.906196907152760013e+19 2.782675902300470461e-01 8.852871384668316301e-03
2.052699121731637740e+20 2.901411947166573913e-01 9.165908852994692629e-03
7.134157141383062487e+20 2.879589872802632566e-01 9.038526099138220055e-03
2.479476781527112614e+21 2.825683868760522910e-01 8.869324634361346049e-03
8.617423177393317609e+21 2.827585839071020679e-01 8.857857839708672618e-03
2.994985989444866775e+22 2.722561403731081353e-01 8.847135808115844102e-03
1.040907576699089647e+23 2.801784344623177714e-01 8.949971789817318460e-03
