dE N yerr
1.041107874975275264e+18 2.524981479805579743e-01 9.776767334383196922e-03
2.420960421510931968e+18 2.408478133202188731e-01 9.588000059266750530e-03
5.629627345448310784e+18 2.500008958782087287e-01 9.658377226872925936e-03
1.309096330820634624e+19 2.878091708641384860e-01 3.558355697019221445e-03
3.044132583222659072e+19 4.822961419749672296e-01 2.649938802078339629e-03
7.078732837352625766e+19 5.437114824412750957e-01 2.766164774359985631e-03
1.646066891395618243e+20 5.378607397579304727e-01 2.698460268245478095e-03
3.827713622205540598e+20 5.294981412973078783e-01 2.732823108944876234e-03
8.900848228103096893e+20 4.150441484077227461e-01 2.091519671157958653e-03
2.069776033403363394e+21 2.438821574184572571e-01 1.276327764795128763e-03
