dE N yerr
1.397973407933772800e+18 2.727295227093399776e-01 5.373524373396348745e-03
4.863762442359879680e+18 3.229380906835018772e-01 3.007753835996484874e-03
1.692177044388474061e+19 4.115418282940451200e-01 2.394142176307939313e-03
5.887341710229517926e+19 4.570158134266401051e-01 2.541605996311263691e-03
2.048295864073377219e+20 4.231851878176652315e-01 3.063504428786424216e-03
7.126333332223961334e+20 1.363661562664934268e-01 1.967251582207988573e-03
2.479359923178899505e+21 9.887505946672682511e-02 3.088337998775672003e-03
8.626070858724867572e+21 1.362197411948492809e-01 5.178297571472341779e-03
3.001141454458098968e+22 2.248881979794350172e-01 7.442713056782802525e-03
1.044142829009670442e+23 2.619208961716137929e-01 8.315996769449664552e-03
