dE N yerr
1.174361674365734656e+18 2.697713715478707308e-01 9.561792746980305249e-03
3.241045467350902784e+18 2.726066937179473237e-01 9.632083913885574472e-03
8.944753520766232576e+18 2.796487787691502303e-01 9.689255907060436226e-03
2.468605156985213747e+19 2.795009100885069153e-01 9.748713730133676605e-03
6.812945048676942643e+19 2.662992874940348087e-01 9.432804721726811489e-03
1.880261009135113339e+20 3.629086756424317883e-01 1.481099523643297604e-03
5.189211768499964477e+20 4.387775335604880977e-01 2.004637404503549665e-03
1.432137274958698775e+21 3.005685101904631562e-01 9.601308866881626616e-03
3.952463814979381363e+21 2.684662405042391176e-01 9.230059478643175969e-03
1.090815139154301970e+22 2.721696554809763247e-01 9.516188842126550862e-03
