dE N yerr
1.397522932331735040e+18 2.950729901406414224e-01 8.781778658861320169e-03
4.859114548444367872e+18 2.884087764885340244e-01 8.449782096162559986e-03
1.689488855507315917e+19 3.056335917952035519e-01 7.691481862740236035e-03
5.874264877738351821e+19 2.980770576877698752e-01 4.216711379365884783e-03
2.042451345053039329e+20 3.429499987841130304e-01 2.580906950206021070e-03
7.101497095778014331e+20 3.769250644037792641e-01 2.854346423796820780e-03
2.469153604245781479e+21 3.237312796127601588e-01 4.425135886703515480e-03
8.585118657563851751e+21 2.886683945595525103e-01 8.305499754590403225e-03
2.985001104739467579e+22 2.144777353100897621e-01 6.861750669881869387e-03
1.037869358677478206e+23 1.972853574640953400e-01 7.059425122475701704e-03
