dE N yerr
1.390037448376264704e+18 2.904605572561503313e-01 9.524576886239375165e-03
4.815774368030468096e+18 2.965552846317894287e-01 9.571280655072672908e-03
1.668421436477844890e+19 3.150575138242117101e-01 9.864833412280834407e-03
5.780233617625302630e+19 3.066380215402160214e-01 9.691900913174214885e-03
2.002557623861442970e+20 3.081720583030556626e-01 9.774624145297504049e-03
6.937845945633451540e+20 3.138433618879077902e-01 9.836465165693319274e-03
2.403611551138710028e+21 3.014869992213998762e-01 9.601302031987992910e-03
8.327294284191464686e+21 3.330153836957533975e-01 1.017582339070567492e-02
2.884984891284792122e+22 3.043859593765089189e-01 9.664263874472864974e-03
9.995008629324128033e+22 2.964106666296268400e-01 9.672996529805164695e-03
