dE N yerr
1.398241445888684032e+18 2.903938283640362106e-01 9.446511942808891171e-03
4.864392918299020288e+18 3.027669820939383749e-01 9.696303575168045003e-03
1.692291308713033318e+19 3.140584893729678195e-01 9.872344029038805993e-03
5.887373659254281830e+19 3.134719827080498789e-01 9.805579901485618824e-03
2.048179791813772247e+20 3.075817632233234789e-01 9.687914920329363661e-03
7.125487020855514890e+20 2.994960203053244618e-01 9.681331407673812728e-03
2.478911543181404275e+21 3.093347548910957978e-01 9.772256473832112433e-03
8.623975345028720493e+21 3.203837478353900869e-01 1.005628229874098480e-02
3.000226085365430511e+22 3.142022840006834516e-01 9.862257021986913300e-03
1.043759542807134386e+23 3.220474008439119795e-01 9.943334608501552818e-03
