dE N yerr
1.096036876321710336e+18 2.664106540108315824e-01 8.321270808815084755e-03
2.752418577877651968e+18 2.592514406484578982e-01 8.260437758234479358e-03
6.912001038934362112e+18 2.609944326381443136e-01 8.337161330398291242e-03
1.735773720836779827e+19 2.791901802323224491e-01 8.567179782944474298e-03
4.358955377720928666e+19 2.495639774358210383e-01 8.088414971919376945e-03
1.094641067373832765e+20 2.472067307291823668e-01 8.088851324992136702e-03
2.748913357786700841e+20 2.650414036951862506e-01 8.339750077737548978e-03
6.903198567862163210e+20 2.695249948807514895e-01 8.410345258464225343e-03
1.733563203523560866e+21 2.704380784514741065e-01 8.373859835758060838e-03
4.353404224241459528e+21 2.568444825560106670e-01 8.196236793543107066e-03
