dE N yerr
1.096491021381012352e+18 2.594769927705369850e-01 8.288688491887744730e-03
2.754076423702845952e+18 2.735482078165997755e-01 8.502833969149995938e-03
6.917463800152922112e+18 2.668429487442495196e-01 8.404762874862374902e-03
1.737471953014659072e+19 2.736842027213339246e-01 8.586237088605478893e-03
4.364039877513832858e+19 2.753589478005017965e-01 8.579867501511583699e-03
1.096123826314810819e+20 2.633931162137361781e-01 8.435330684854866826e-03
2.753154133182443028e+20 2.702818830630647207e-01 8.542793278262156287e-03
6.915147266293075804e+20 2.571624202791478742e-01 8.282643854204425199e-03
1.736890104995503931e+21 2.592820973358838654e-01 8.320758476608380513e-03
4.362578439270851150e+21 2.734228136951933341e-01 8.561200383638967529e-03
