dE N yerr
1.097525702547490816e+18 2.674451584473084842e-01 8.487115569600085785e-03
2.756036957098945024e+18 2.542468793192774745e-01 8.167586497150346181e-03
6.920785263857216512e+18 2.700517496006947793e-01 8.455648272499970142e-03
1.737903715153396326e+19 2.701616682795505153e-01 8.459089959837141556e-03
4.364113620049879859e+19 2.712666741656714064e-01 8.448256870173118799e-03
1.095888542192558572e+20 2.587353481177931958e-01 8.281916675338483330e-03
2.751925823817584476e+20 2.750897252580033481e-01 8.563169112798339061e-03
6.910461646621932257e+20 2.737911352858968250e-01 8.498077860485342416e-03
1.735311313848776786e+21 2.509928370797221420e-01 8.173451336496880687e-03
4.357603746261426504e+21 2.618595221769702275e-01 8.373344194571728100e-03
