dE N yerr
1.096175393920005248e+18 2.642847937441692441e-01 8.408019367280552409e-03
2.753175892009619456e+18 2.622618673354438767e-01 8.343661504755888608e-03
6.914931254966776832e+18 2.664587154140298786e-01 8.417750884896430322e-03
1.736767868689057178e+19 2.692001849119701196e-01 8.521382956517218818e-03
4.362100675323665613e+19 2.690094434937803647e-01 8.414766671154583905e-03
1.095593869779603292e+20 2.650747273794042402e-01 8.374029040463403309e-03
2.751715324428137595e+20 2.849134440768436582e-01 8.665629077227855401e-03
6.911262864418795684e+20 2.570401968990655983e-01 8.261584830220667156e-03
1.735846508432734028e+21 2.556094308348023092e-01 8.241178811518506953e-03
4.359786568603486126e+21 2.627723675427462990e-01 8.355675168818802595e-03
