dE N yerr
1.096213920827028992e+18 2.636493172962269815e-01 8.495980511408020297e-03
2.753177050138164224e+18 2.610873146129860101e-01 8.413421128777289967e-03
6.914694044104852480e+18 2.692334444881316902e-01 8.587213259701484067e-03
1.736647983506171290e+19 2.823640876181632287e-01 8.776862312610881484e-03
4.361648106740612301e+19 2.604813818672632175e-01 8.398256817163069626e-03
1.095442161434805043e+20 2.715304466299979236e-01 8.577972966072626090e-03
2.751238751229046948e+20 2.713820692156878600e-01 8.590449297332969011e-03
6.909825943115159306e+20 3.029700368580222070e-01 8.621169840575091878e-03
1.735425344049772233e+21 2.685203421330388807e-01 7.784015842611086838e-03
4.358577407830485107e+21 1.705411627104355399e-01 6.593502279884260082e-03
