dE N yerr
1.096065148884912512e+18 2.583082503119135120e-01 8.319548554621178371e-03
2.752358001757445120e+18 2.780915500890423497e-01 8.673437144396001219e-03
6.911518514702512128e+18 2.652711431186169921e-01 8.376055423532220018e-03
1.735569578832910336e+19 2.633204339930743654e-01 8.459071068498002707e-03
4.358234383026749440e+19 2.719597549053280883e-01 8.548981649370342856e-03
1.094407690077702226e+20 2.838790797422521828e-01 8.815440337639857821e-03
2.748195913385919447e+20 2.653231072481298525e-01 8.488438234685834194e-03
6.901066985206251520e+20 2.742667812622109347e-01 8.651475433016786107e-03
1.732945067792767910e+21 2.738118409762019811e-01 8.628543441699753833e-03
4.351643904377386697e+21 2.680419955873625804e-01 8.484721114050958538e-03
