dE N yerr
1.096233612846526720e+18 2.663433072348577735e-01 8.372430129509568150e-03
2.753180212227339776e+18 2.571896001290302491e-01 8.228224288271858769e-03
6.914585716193855488e+18 2.746694798135374538e-01 8.517139007107018059e-03
1.736591575598761574e+19 2.502447909297929041e-01 8.127572970565885915e-03
4.361433098410722099e+19 2.649801372738328498e-01 8.425878161976020631e-03
1.095369742615151575e+20 2.675557492170018703e-01 8.410542916675024100e-03
2.751010610420677018e+20 2.680555501317370970e-01 8.472425624369195676e-03
6.909136782050154250e+20 2.711821695028212575e-01 8.482730762559615237e-03
1.735223081010896830e+21 2.706907276901503456e-01 8.509090120644401123e-03
4.357996137369114771e+21 2.646480685609475247e-01 8.423840835421012030e-03
