dE N yerr
1.096487209690013696e+18 2.655895102681553599e-01 8.373594535906787525e-03
2.753976495021199360e+18 2.585981161005928564e-01 8.218787645043450912e-03
6.916985869149736960e+18 2.781907188689092258e-01 8.581066720166391840e-03
1.737294911576537088e+19 2.553642676744102280e-01 8.161477389646044911e-03
4.363452039494675661e+19 2.525444479595991276e-01 8.059017175578641820e-03
1.095940221438416323e+20 2.427026363863276082e-01 7.962815202641910020e-03
2.752602659763807191e+20 2.628185369329327781e-01 8.253478338852572593e-03
6.913535295377921802e+20 2.624027855639018414e-01 8.269013591190668006e-03
1.736428253125993038e+21 2.695345196372045393e-01 8.390243115134659105e-03
4.361275309131642700e+21 2.608151378456434188e-01 8.206767077889722678e-03
