dE N yerr
1.093819328069006080e+18 2.663439704183723777e-01 8.351844371356879904e-03
2.737546984711674880e+18 2.627691502484658104e-01 8.276450283061984742e-03
6.851372343853113344e+18 2.755557583961651402e-01 8.293253761804612878e-03
1.714721363916947251e+19 2.684525469767709560e-01 7.436957863964799992e-03
4.291504253904891085e+19 1.869785365663408083e-01 5.599565416872898972e-03
1.074052563223082762e+20 1.626131773461373664e-01 5.071765654550238443e-03
2.688075882754654208e+20 1.429308226615753907e-01 4.788362724699720373e-03
6.727558965795613573e+20 1.549860644058026760e-01 5.233507532682109449e-03
1.683734076430755561e+21 1.682326604303477913e-01 5.713480693291070334e-03
4.213951084706488386e+21 1.798090207785499328e-01 6.397317866911497036e-03
