dE N yerr
1.096618279834659584e+18 2.619591125938318110e-01 8.194228355818936396e-03
2.754342644033760768e+18 2.753584942012734516e-01 8.421891177708284645e-03
6.917998304648645632e+18 2.582124122446428638e-01 8.128895335945261758e-03
1.737572507428923392e+19 2.607965066678738508e-01 8.137978684495025469e-03
4.364207803497248358e+19 2.462558559338215158e-01 7.923152290413189303e-03
1.096144746229267497e+20 2.473282446137751445e-01 7.928979500124401156e-03
2.753153284138254664e+20 2.619049957311881949e-01 8.188530399084376077e-03
6.915011025720746967e+20 2.369794212719803228e-01 7.770861350964698711e-03
1.736822201703399686e+21 2.482319602625328303e-01 7.995013104378912230e-03
4.362323283519904678e+21 2.630807949818936287e-01 8.249519797013802475e-03
