dE N yerr
1.095995677667240960e+18 2.594813826481298658e-01 8.230249692505759579e-03
2.752901579732748288e+18 2.716205100526346561e-01 8.394391489713383739e-03
6.914687039483003904e+18 2.735816890302749105e-01 8.483408046834377964e-03
1.736818243194727014e+19 2.726917141320463478e-01 8.529950167460980531e-03
4.362507793439568691e+19 2.594232146439879871e-01 8.342488171377691886e-03
1.095766602083487252e+20 2.638014026126495604e-01 8.354674246533992307e-03
2.752326191937664123e+20 2.603291619857004413e-01 8.191475439831546329e-03
6.913241791109926748e+20 2.539494515690616239e-01 8.179161099953395284e-03
1.736455228393628107e+21 2.590789279767019004e-01 8.259134566167947167e-03
4.361595979606927081e+21 2.566429405302906308e-01 8.219152050844842627e-03
