dE N yerr
1.096821180143697152e+18 2.654524697769714003e-01 8.458018975237407630e-03
2.754718124960602624e+18 2.562514547851131308e-01 8.300798838881406905e-03
6.918604495759531008e+18 2.720690501119559235e-01 8.552417314754550207e-03
1.737640150366694605e+19 2.814358875204109323e-01 8.873204395646473036e-03
4.364165192586163814e+19 2.595716437761472206e-01 8.377638779105852501e-03
1.096080671487785042e+20 2.674793563425186260e-01 8.518278049131793039e-03
2.752858302545554309e+20 2.802531788949939040e-01 8.745110988062089127e-03
6.913933464046529413e+20 2.790137432593979283e-01 8.693746716379784079e-03
1.736466998721284407e+21 2.898305863578306552e-01 8.944366079298129296e-03
4.361218766897595023e+21 2.745875038552511582e-01 8.722559525479742573e-03
