dE N yerr
9.536009228640057600e+17 2.596755206517284975e-01 8.991827892915370962e-03
1.958079701593389568e+18 2.352989358971998568e-01 8.557739561043494619e-03
4.020629621746749440e+18 2.571679238277115309e-01 9.052739666639048402e-03
8.255773522453013504e+18 2.361051154862004453e-01 8.581386384710124743e-03
1.695202066994306458e+19 2.382789852209778181e-01 8.666122907082497717e-03
3.480848935749283430e+19 2.511526441575868684e-01 8.835519189089939898e-03
7.147413013122294579e+19 2.404359049981321939e-01 8.659087607830970659e-03
1.467616484458361651e+20 2.458715930516679471e-01 7.822217415367871407e-03
3.013535305011017810e+20 4.084980922303799722e-01 7.168840012533643502e-03
6.187852978429460480e+20 3.111918325100665461e-02 1.873154711502408344e-03
