dE N yerr
1.096022963315485056e+18 2.524837659914346832e-01 8.257102085767022495e-03
2.753065938935128576e+18 2.932122047533007314e-01 8.926296761803759194e-03
6.915340570234997760e+18 2.622428644672380460e-01 8.398493147139302409e-03
1.737042855603937894e+19 2.691767198045278420e-01 8.529190750838090349e-03
4.363223837726544691e+19 2.746388668681329359e-01 8.569920176703238815e-03
1.095984603758442906e+20 2.712068091507771062e-01 8.393640023528787381e-03
2.752969584758746644e+20 2.619589528534663758e-01 7.985959622783783685e-03
6.915098541180910305e+20 2.408504694154120773e-01 7.537626713476746829e-03
1.736982061079794811e+21 2.417950125063806077e-01 7.704229708674389943e-03
4.363071129855183028e+21 2.336239243651481445e-01 7.952650872076019381e-03
