dE N yerr
1.088799316531505920e+18 2.650311709431395490e-01 8.294382979006961754e-03
2.725418318566197248e+18 2.595078850344413324e-01 8.214578564786079173e-03
6.822106607155699712e+18 2.599058485843913080e-01 8.243712934476118276e-03
1.707669543510006170e+19 2.673657283374510918e-01 8.318702187751124411e-03
4.274537819114323149e+19 2.482231049931891698e-01 8.044957046413253599e-03
1.069977129736843264e+20 2.421376526244736760e-01 7.918747998222187487e-03
2.678303729213711974e+20 2.637826320918382761e-01 8.271527557531500874e-03
6.704172142150671401e+20 2.776629314432765283e-01 8.581131624650312900e-03
1.678148882867149865e+21 2.539404112941555658e-01 8.091214291997855801e-03
4.200643440168051147e+21 2.445792122225310117e-01 8.107721936618924805e-03
