dE N yerr
1.098116688375820032e+18 2.627569895742012940e-01 8.296669896769968619e-03
2.756441558410908160e+18 2.721969310759818073e-01 8.400179662884926443e-03
6.919091700694036480e+18 2.614073410079732485e-01 8.358885035191773033e-03
1.736798294037201101e+19 2.669450356179832173e-01 8.387202447623394799e-03
4.359630490036658995e+19 2.533634958406323912e-01 8.173015994859108777e-03
1.094334216869639946e+20 2.502411950710340949e-01 8.110363721559391004e-03
2.746946973943240458e+20 2.676235404285643993e-01 8.391968311728394483e-03
6.895258835313189192e+20 2.581242957924350101e-01 8.237077275039365182e-03
1.730815878754089828e+21 2.763367269118230940e-01 8.491621524176515973e-03
4.344613708777803743e+21 2.533792143344349435e-01 8.073333070029378375e-03
