dE dNdE yerr
1.897231654420435376e+01 1.824625357874827753e-19 1.833817483345075010e-20
1.927175621132297678e+01 4.261548299770787100e-20 4.395451458341627376e-21
1.957119587844159625e+01 1.164572866659778311e-20 1.153098962540481681e-21
1.987063554556021927e+01 2.561604615183274768e-21 2.700168349592762585e-22
2.017007521267883874e+01 6.646392523606916856e-22 6.891987991197820604e-23
2.046951487979745821e+01 1.949726266845908341e-22 1.876124975015948808e-23
2.076895454691608123e+01 4.878477223702859412e-23 4.651445525287376793e-24
2.106839421403470070e+01 1.017737422460874484e-23 1.061064611541934043e-24
2.136783388115332372e+01 2.778648713102702033e-24 2.881324492112362115e-25
2.166727354827194318e+01 8.547882487234849429e-25 7.835831028821954882e-26
