dE dNdE yerr
1.897231654420435376e+01 3.523784322916622406e-20 3.541536497348783862e-21
1.927175621132297678e+01 1.679044903998070702e-20 1.731802587406166284e-21
1.957119587844159625e+01 9.143131415980584297e-21 9.053049106646016403e-22
1.987063554556021927e+01 4.048532524244442775e-21 4.267527985961099770e-22
2.017007521267883874e+01 2.099415525560938799e-21 2.176992487173782152e-22
2.046951487979745821e+01 1.223487521760060037e-21 1.177301416730531144e-22
2.076895454691608123e+01 6.253581395703607980e-22 5.962555909605627117e-23
2.106839421403470070e+01 2.624727865657966515e-22 2.736467964834736682e-23
2.136783388115332372e+01 1.331495601420765738e-22 1.380696620419369824e-23
2.166727354827194318e+01 8.549959977842185908e-23 7.837735461339290932e-24
