N bins
1.711946744356088734e+00 1.879728485685240358e+01
7.967528513430749415e-01 1.909672452397102305e+01
4.338729210558745497e-01 1.939616419108964607e+01
1.901724679673784391e-01 1.969560385820826554e+01
9.832437602156848810e-02 1.999504352532688856e+01
5.747626286899377296e-02 2.029448319244550802e+01
2.865753481194394797e-02 2.059392285956412749e+01
1.191324183639454713e-02 2.089336252668275051e+01
6.481380621529502471e-03 2.119280219380136998e+01
3.973123742352051638e-03 2.149224186091999300e+01
3.973123742352051638e-03 2.179168152803861247e+01
