N bins
3.306175195578958670e-01 1.879728485685240358e+01
3.139196650347660933e-01 1.909672452397102305e+01
3.406362322717715330e-01 1.939616419108964607e+01
3.005613814162654274e-01 1.969560385820826554e+01
3.105800941301446461e-01 1.999504352532688856e+01
3.606736576995227539e-01 2.029448319244550802e+01
3.673527995087688125e-01 2.059392285956412749e+01
3.072405232255193686e-01 2.089336252668275051e+01
3.105800941301409268e-01 2.119280219380136998e+01
3.974089376504000848e-01 2.149224186091999300e+01
3.974089376504000848e-01 2.179168152803861247e+01
