N bins
6.999999999999999556e-01 -3.548511973029278010e+00
2.632000000000000000e+03 2.397154993081421215e-02
1.058000000000000000e+03 3.596455072890906379e+00
6.060000000000000000e+02 7.168938595850998574e+00
4.840000000000000000e+02 1.074142211881109255e+01
4.050000000000000000e+02 1.431390564177118385e+01
3.310000000000000000e+02 1.788638916473127338e+01
3.000000000000000000e+02 2.145887268769136824e+01
2.640000000000000000e+02 2.503135621065145955e+01
2.530000000000000000e+02 2.860383973361155086e+01
2.590000000000000000e+02 3.217632325657164216e+01
2.100000000000000000e+02 3.574880677953173347e+01
2.230000000000000000e+02 3.932129030249182478e+01
2.360000000000000000e+02 4.289377382545192319e+01
2.190000000000000000e+02 4.646625734841201449e+01
2.290000000000000000e+02 5.003874087137210580e+01
2.490000000000000000e+02 5.361122439433219711e+01
2.260000000000000000e+02 5.718370791729228841e+01
2.530000000000000000e+02 6.075619144025237972e+01
2.310000000000000000e+02 6.432867496321247813e+01
2.400000000000000000e+02 6.790115848617257654e+01
2.610000000000000000e+02 7.147364200913266075e+01
2.140000000000000000e+02 7.504612553209275916e+01
1.750000000000000000e+02 7.861860905505284336e+01
2.140000000000000000e+02 8.219109257801294177e+01
1.970000000000000000e+02 8.576357610097304018e+01
2.210000000000000000e+02 8.933605962393312439e+01
2.100000000000000000e+02 9.290854314689322280e+01
1.940000000000000000e+02 9.648102666985330700e+01
1.900000000000000000e+02 1.000535101928134054e+02
1.760000000000000000e+02 1.036259937157734896e+02
1.880000000000000000e+02 1.071984772387335880e+02
2.010000000000000000e+02 1.107709607616936722e+02
1.790000000000000000e+02 1.143434442846537706e+02
1.780000000000000000e+02 1.179159278076138690e+02
1.690000000000000000e+02 1.214884113305739533e+02
1.550000000000000000e+02 1.250608948535340517e+02
1.460000000000000000e+02 1.286333783764941359e+02
1.280000000000000000e+02 1.322058618994542201e+02
1.430000000000000000e+02 1.357783454224143327e+02
1.310000000000000000e+02 1.393508289453744169e+02
1.070000000000000000e+02 1.429233124683345011e+02
9.700000000000000000e+01 1.464957959912946137e+02
1.010000000000000000e+02 1.500682795142546979e+02
7.900000000000000000e+01 1.536407630372147821e+02
7.100000000000000000e+01 1.572132465601748663e+02
4.900000000000000000e+01 1.607857300831349789e+02
4.500000000000000000e+01 1.643582136060950631e+02
2.800000000000000000e+01 1.679306971290551473e+02
1.900000000000000000e+01 1.715031806520152600e+02
7.000000000000000000e+00 1.750756641749753442e+02
6.999999999999999556e-01 1.786481476979354284e+02
